TABLE 11: REVENUE FROM CPI 20 LOWEST RA,KED COUNTRIES 1,2019,2020,2021,2022
Operating Revenue,$ Million USD,573.28,297.25,228.9,276.3
% of Total Operating Revenues,%,27.9%,20.8%,18.6%,17.3%
